,month,flat_type,storey_range,floor_area_sqm,flat_model,remaining_lease,region,mrt_dist,no_of_mrt_within_1km,bus_dist,no_of_bus_within_1km,school_dist,no_of_schools_within_1km,school_type,school_level,school_sap,school_ip,resale_price
53392,1,4 ROOM,04 TO 06,83.0,Simplified,784.0,OCR,0.9294015761038692,1,0.1467547339402752,7,0.2931242403924532,3,GOVERNMENT SCHOOL,PRIMARY,0,0,380000.0
53393,1,4 ROOM,01 TO 03,91.0,New Generation,756.0,OCR,0.7055286402025501,1,0.0760946383091773,7,0.4417548199481677,3,GOVERNMENT-AIDED SCH,PRIMARY,0,0,345000.0
53394,1,4 ROOM,10 TO 12,92.0,New Generation,725.0,OCR,0.7080937439087563,1,0.07640722791591692,7,0.5588816415061414,4,GOVERNMENT SCHOOL,SECONDARY,0,0,385000.0
53395,1,4 ROOM,07 TO 09,98.0,New Generation,738.0,OCR,0.8515353391122799,1,0.0514827714022613,8,0.2852095515083865,2,GOVERNMENT SCHOOL,SECONDARY,0,0,385000.0
53396,1,5 ROOM,01 TO 03,121.0,Improved,756.0,OCR,0.6089216793683304,1,0.12693955367883625,10,0.19400079747255924,1,GOVERNMENT SCHOOL,PRIMARY,0,0,410000.0
53397,1,5 ROOM,13 TO 15,122.0,Improved,802.0,OCR,0.4841058154198124,1,0.06837368057287421,7,0.5075295074446313,2,GOVERNMENT SCHOOL,PRIMARY,0,0,515000.0
53398,1,5 ROOM,13 TO 15,115.0,Premium Apartment,971.0,OCR,0.21613438067894414,1,0.2051825040630108,5,0.26418546636250145,1,GOVERNMENT SCHOOL,SECONDARY,0,0,648000.0
53399,1,5 ROOM,04 TO 06,115.0,Premium Apartment,971.0,OCR,0.4120946615030838,1,0.35899247272792434,5,0.3314130913315112,2,GOVERNMENT SCHOOL,SECONDARY,0,0,568000.0
53401,1,5 ROOM,07 TO 09,123.0,Standard,693.0,OCR,0.9651608593233608,1,0.1084602718158904,8,0.2282305099208197,3,GOVERNMENT SCHOOL,PRIMARY,0,0,510000.0
53402,1,5 ROOM,04 TO 06,133.0,Model A,763.0,OCR,0.9278772042748556,2,0.06679669583488354,8,0.22806877483413826,2,GOVERNMENT SCHOOL,SECONDARY,0,0,550000.0
53403,1,5 ROOM,10 TO 12,121.0,Improved,737.0,OCR,0.7876133766655451,1,0.054542198074594025,8,0.21149466982658652,2,GOVERNMENT SCHOOL,SECONDARY,0,0,506000.0
53404,1,EXECUTIVE,13 TO 15,143.0,Apartment,768.0,OCR,0.77594785010821,1,0.19784067114745665,9,0.2362472582952797,2,GOVERNMENT SCHOOL,SECONDARY,0,0,727500.0
53405,1,EXECUTIVE,10 TO 12,150.0,Maisonette,789.0,OCR,0.489370775845396,1,0.14122797017912644,10,0.2609954869920702,3,GOVERNMENT SCHOOL,PRIMARY,0,0,670000.0
53406,1,EXECUTIVE,10 TO 12,144.0,Apartment,922.0,OCR,0.6593857698960257,1,0.12977972324540682,11,0.4587440409295646,2,GOVERNMENT SCHOOL,SECONDARY,0,0,808000.0
53407,1,3 ROOM,10 TO 12,67.0,New Generation,709.0,OCR,0.5673082458016445,1,0.08226219165657374,4,0.5122812617685828,2,GOVERNMENT SCHOOL,PRIMARY,0,0,297000.0
53408,1,3 ROOM,07 TO 09,82.0,New Generation,777.0,OCR,0.8884753933497418,2,0.13727205786954155,6,0.5266122456665936,2,GOVERNMENT SCHOOL,SECONDARY,0,0,352000.0
53409,1,3 ROOM,01 TO 03,67.0,New Generation,691.0,OCR,0.6094621638364139,1,0.08841664748109576,9,0.21549865293063725,2,GOVERNMENT SCHOOL,SECONDARY,0,0,245000.0
53410,1,3 ROOM,10 TO 12,59.0,Improved,696.0,OCR,0.3332402645388519,1,0.1586131836054994,10,0.4359191658611043,1,GOVERNMENT SCHOOL,PRIMARY,0,0,269500.0
53411,1,3 ROOM,04 TO 06,59.0,Improved,696.0,OCR,0.5256104656537169,1,0.2354912978774341,5,0.5647707357739098,1,GOVERNMENT SCHOOL,PRIMARY,0,0,245000.0
53412,1,3 ROOM,07 TO 09,73.0,New Generation,700.0,OCR,0.9052898842620374,2,0.09969983313256324,9,0.3666347410434812,1,GOVERNMENT-AIDED SCH,SECONDARY,1,0,290000.0
53413,1,3 ROOM,04 TO 06,68.0,New Generation,715.0,OCR,0.2342359931089819,1,0.20706751068139792,4,0.4567161385286882,2,GOVERNMENT SCHOOL,PRIMARY,0,0,332000.0
53414,1,3 ROOM,01 TO 03,68.0,New Generation,708.0,OCR,0.6159558047034225,1,0.024984736856881715,8,0.347765322127402,3,GOVERNMENT SCHOOL,PRIMARY,0,0,280000.0
53415,1,3 ROOM,01 TO 03,73.0,New Generation,714.0,OCR,0.312161310390271,1,0.1890219860419393,4,0.5874209323796277,1,GOVERNMENT SCHOOL,PRIMARY,0,0,325000.0
53416,1,3 ROOM,07 TO 09,68.0,New Generation,708.0,OCR,0.6159558047034225,1,0.024984736856881715,8,0.347765322127402,3,GOVERNMENT SCHOOL,PRIMARY,0,0,340000.0
53417,1,3 ROOM,04 TO 06,68.0,New Generation,721.0,OCR,0.8058071099352622,1,0.15786409789438138,7,0.340807793357326,2,GOVERNMENT SCHOOL,SECONDARY,0,0,265000.0
53418,1,3 ROOM,07 TO 09,59.0,Improved,699.0,OCR,0.5898359004695336,2,0.10071976294629173,6,0.21313718547035299,2,GOVERNMENT SCHOOL,PRIMARY,0,0,235000.0
53419,1,3 ROOM,10 TO 12,68.0,New Generation,724.0,OCR,0.8783044232007601,2,0.0970518312446572,6,0.516380052341475,2,GOVERNMENT SCHOOL,SECONDARY,0,0,280000.0
53420,1,3 ROOM,10 TO 12,65.0,Improved,752.0,OCR,0.5102394051715339,1,0.02815535367841445,5,0.3299324023550578,1,GOVERNMENT SCHOOL,PRIMARY,0,0,295000.0
53421,1,3 ROOM,01 TO 03,66.0,Improved,700.0,OCR,0.7476967057907704,1,0.16172460584041068,4,0.19488910158483394,3,GOVERNMENT SCHOOL,PRIMARY,0,0,279000.0
